worker_id,email,job_type,skills,job_date,start_time,end_time,province,district,subdistrict,start_salary,range_salary
W020,william48@xmail.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-04-20,08:00:00,16:00:00,ปัตตานี,เมืองปัตตานี,ตันหยง,755,1005
W021,megan60@fastmail.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-07,08:00:00,16:00:00,ตรัง,เมืองตรัง,ปากเมือง,700,980
W022,daniel19@outlook.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-06-26,08:00:00,16:00:00,พะเยา,เมืองพะเยา,ท่าพาน,670,915
W023,olivia32@gmail.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-21,08:00:00,16:00:00,เชียงราย,เมืองเชียงราย,รอบเวียง,720,1050
W024,kimberly19@work.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-04-17,08:00:00,16:00:00,นครปฐม,เมืองนครปฐม,บ้านใหม่,705,960
W025,carol32@noodle.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-08-13,08:00:00,16:00:00,กาฬสินธุ์,เมืองกาฬสินธุ์,ยางตลาด,650,915
W026,elizabeth78@outlook.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-05-10,08:00:00,16:00:00,สกลนคร,เมืองสกลนคร,ท่าพระ,600,800
W027,brianna52@msn.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-21,08:00:00,16:00:00,นครราชสีมา,เมืองนครราชสีมา,ในเมือง,680,935
W028,jason25@icloud.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-06-18,08:00:00,16:00:00,ขอนแก่น,เมืองขอนแก่น,หนองแวง,800,1050
W029,heather56@fastmail.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-14,08:00:00,16:00:00,ระยอง,เมืองระยอง,ตะพง,690,950
W030,aaron69@aol.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-08-03,08:00:00,16:00:00,สงขลา,หาดใหญ่,หาดใหญ่,745,1050
W031,christine40@gmail.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-06-09,08:00:00,16:00:00,ลพบุรี,เมืองลพบุรี,โพธิ์ทอง,670,925
W032,lisa72@msn.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-05-19,08:00:00,16:00:00,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,670,920
W033,julie60@google.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-08-10,08:00:00,16:00:00,พัทลุง,เมืองพัทลุง,บางแก้ว,720,1030
W034,donald83@live.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-06-04,08:00:00,16:00:00,อุดรธานี,เมืองอุดรธานี,หนองบัว,725,985
W035,olga47@web.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-05-22,08:00:00,16:00:00,ปทุมธานี,เมืองปทุมธานี,ลาดหลุมแก้ว,760,1020
W036,harry80@tech.com,พนักงานขับรถ,GPS;ขับรถส่งของ,2025-06-12,08:00:00,16:00:00,พิษณุโลก,เมืองพิษณุโลก,บ้านสวน,695,955
W037,carolyn66@aol.com,แม่บ้าน,ซักรีด;ทำความสะอาด,2025-07-19,08:00:00,16:00:00,ร้อยเอ็ด,เมืองร้อยเอ็ด,ท่าหลวง,750,1040
W038,david77@outlook.com,พนักงานขับรถ,GPS;ขับรถบรรทุก,2025-07-25,08:00:00,16:00:00,สุรินทร์,เมืองสุรินทร์,ศรีณรงค์,715,975
